50,05/18/10,09:30:00,MLB,FGRN,9,
50,05/18/10,09:30:00,MLB,FR2D,1,
50,05/18/10,09:30:00,MLB,FRM,1,
52,05/18/10,11:30:00,MDBR,FGBD,R,
52,05/18/10,11:30:00,MDBR,FGRN,2,
52,05/18/10,11:30:00,MDBR,FR2D,R,
52,05/18/10,11:30:00,MDBR,FRM,1,
51,05/18/10,10:30:00,MDMG,FOGO,R,
51,05/18/10,10:30:00,MDMG,FGRN,2,
51,05/18/10,10:30:00,MDMG,FLG,R,
51,05/18/10,10:30:00,MDMG,FR2D,3,
53,05/18/10,12:30:00,MLNR,FGRN,2,
53,05/18/10,12:30:00,MLNR,FR2D,R,
54,05/18/10,13:30:00,M2M,FGRN,R,
54,05/18/10,13:30:00,M2M,FLG,1,
55,05/19/10,08:30:00,MBOD,FGRN,7,
55,05/19/10,08:30:00,MBOD,FO2P,1,
55,05/19/10,08:30:00,MBOD,FLG,2,
55,05/19/10,08:30:00,MBOD,FR2D,10,
55,05/19/10,08:30:00,MBOD,FRM,9,
56,05/19/10,09:30:00,MND,FGBD,7,
56,05/19/10,09:30:00,MND,FGRN,8,
56,05/19/10,09:30:00,MND,FLG,6,
56,05/19/10,09:30:00,MND,FR2D,6,
56,05/19/10,09:30:00,MND,FRM,8,
57,05/19/10,10:30:00,MGRG,FGRN,7,
57,05/19/10,10:30:00,MGRG,FR2D,10,
57,05/19/10,10:30:00,MGRG,FRM,1,
58,05/19/10,12:30:00,MWG,FGRN,4,
58,05/19/10,12:30:00,MWG,FLG,1,
58,05/19/10,12:30:00,MWG,FR2D,7,
58,05/19/10,12:30:00,MWG,FRM,5,
59,05/19/10,13:30:00,MLB,FGRN,2,
59,05/19/10,13:30:00,MLB,FR2D,2,
60,05/19/10,14:30:00,MDBR,FRM,2,
61,05/22/10,08:30:00,M2M,FGBD,8,
61,05/22/10,08:30:00,M2M,FGRN,11,
61,05/22/10,08:30:00,M2M,FO2P,1,
61,05/22/10,08:30:00,M2M,FLG,8,
61,05/22/10,08:30:00,M2M,FR2D,15,
61,05/22/10,08:30:00,M2M,FRM,10,
62,05/22/10,09:30:00,MBDY,FOGO,4,
62,05/22/10,09:30:00,MBDY,FNYO,R,
62,05/22/10,09:30:00,MBDY,FYR,8,
62,05/22/10,09:30:00,MBDY,FGBD,8,
62,05/22/10,09:30:00,MBDY,FGRN,10,
62,05/22/10,09:30:00,MBDY,FO2P,7,
62,05/22/10,09:30:00,MBDY,FLG,8,
62,05/22/10,09:30:00,MBDY,FR2D,10,
62,05/22/10,09:30:00,MBDY,FRM,10,
63,05/22/10,10:30:00,MBOD,FGBD,3,
63,05/22/10,10:30:00,MBOD,FGRN,5,
63,05/22/10,10:30:00,MBOD,FO2P,6,
63,05/22/10,10:30:00,MBOD,FLG,5,
63,05/22/10,10:30:00,MBOD,FR2D,10,
63,05/22/10,10:30:00,MBOD,FRM,5,
64,05/22/10,11:30:00,MDBR,FGBD,R,
64,05/22/10,11:30:00,MDBR,FGRN,R,
64,05/22/10,11:30:00,MDBR,FR2D,5,
64,05/22/10,11:30:00,MDBR,FRM,2,
65,05/22/10,12:30:00,MDMG,FOGO,R,
65,05/22/10,12:30:00,MDMG,FGBD,R,
65,05/22/10,12:30:00,MDMG,FGRN,5,
65,05/22/10,12:30:00,MDMG,FO2P,2,
65,05/22/10,12:30:00,MDMG,FLG,2,
65,05/22/10,12:30:00,MDMG,FR2D,3,
65,05/22/10,12:30:00,MDMG,FRM,2,
66,05/22/10,13:30:00,MGRG,FGRN,2,
66,05/22/10,13:30:00,MGRG,FLG,3,
66,05/22/10,13:30:00,MGRG,FR2D,1,
67,05/23/10,09:00:00,MLB,FYR,R,
67,05/23/10,09:00:00,MLB,FGBD,3,
